 keyword	Units	Component	Description	Internal
IMP_MYSM_R4	N-m	Powertrain	Ext. moment applied from sprung mass to wheel R4	0
IMP_MYSM_R5	N-m	Powertrain	Ext. moment applied from sprung mass to wheel R5	0
IMP_MYSM_R6	N-m	Powertrain	Ext. moment applied from sprung mass to wheel R6	0
IMP_MYUSM_L1	N-m	Brakes	Ext. moment applied from unsprung mass to wheel L1	0
IMP_MYUSM_L2	N-m	Brakes	Ext. moment applied from unsprung mass to wheel L2	0
IMP_MYUSM_L3	N-m	Brakes	Ext. moment applied from unsprung mass to wheel L3	0
IMP_MYUSM_L4	N-m	Brakes	Ext. moment applied from unsprung mass to wheel L4	0
IMP_MYUSM_L5	N-m	Brakes	Ext. moment applied from unsprung mass to wheel L5	0
IMP_MYUSM_L6	N-m	Brakes	Ext. moment applied from unsprung mass to wheel L6	0
IMP_MYUSM_R1	N-m	Brakes	Ext. moment applied from unsprung mass to wheel R1	0
IMP_MYUSM_R2	N-m	Brakes	Ext. moment applied from unsprung mass to wheel R2	0
IMP_MYUSM_R3	N-m	Brakes	Ext. moment applied from unsprung mass to wheel R3	0
IMP_MYUSM_R4	N-m	Brakes	Ext. moment applied from unsprung mass to wheel R4	0
IMP_MYUSM_R5	N-m	Brakes	Ext. moment applied from unsprung mass to wheel R5	0
IMP_MYUSM_R6	N-m	Brakes	Ext. moment applied from unsprung mass to wheel R6	0
IMP_MY_AERO_S1	N-m	Aerodynamics	Y component of aerodynamic moment, unit 1	VARIABLE
IMP_MY_AERO_S2	N-m	Aerodynamics	Y component of aerodynamic moment, unit 2	VARIABLE
IMP_MY_EXT	N-m	Sprung mass	User-defined [sy] moment on sprung mass from inertial reference frame	0
IMP_MY_EXT2	N-m	Sprung mass	User-defined [sy] moment on unit 2 sprung mass from inertial reference frame	0
IMP_MY_EXTC	N-m	Suspended cab	User-defined [sy] moment on cab from inertial reference frame	0
IMP_MY_L1I	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_L1O	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_L2I	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_L2O	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_L3I	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_L3O	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_L4I	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_L4O	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_L5I	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_L5O	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_L6I	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_L6O	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_OUT_D2_L	N-m	Powertrain	Left output shaft torque of 2nd drive axle diff	0
IMP_MY_OUT_D2_R	N-m	Powertrain	Right output shaft torque of 2nd drive axle diff	0
IMP_MY_R1I	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_R1O	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_R2I	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_R2O	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_R3I	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_R3O	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_R4I	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_R4O	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_R5I	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_R5O	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_R6I	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MY_R6O	N-m	Tires	Rolling-resistance at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ0_L1I	N-m	Tires	Yaw moment at wheel center from tire(s)	VARIABLE
IMP_MZ0_L2I	N-m	Tires	Yaw moment at wheel center from tire(s)	VARIABLE
IMP_MZ0_L3I	N-m	Tires	Yaw moment at wheel center from tire(s)	VARIABLE
IMP_MZ0_L4I	N-m	Tires	Yaw moment at wheel center from tire(s)	VARIABLE
IMP_MZ0_L5I	N-m	Tires	Yaw moment at wheel center from tire(s)	VARIABLE
IMP_MZ0_L6I	N-m	Tires	Yaw moment at wheel center from tire(s)	VARIABLE
IMP_MZ0_R1I	N-m	Tires	Yaw moment at wheel center from tire(s)	VARIABLE
IMP_MZ0_R2I	N-m	Tires	Yaw moment at wheel center from tire(s)	VARIABLE
IMP_MZ0_R3I	N-m	Tires	Yaw moment at wheel center from tire(s)	VARIABLE
IMP_MZ0_R4I	N-m	Tires	Yaw moment at wheel center from tire(s)	VARIABLE
IMP_MZ0_R5I	N-m	Tires	Yaw moment at wheel center from tire(s)	VARIABLE
IMP_MZ0_R6I	N-m	Tires	Yaw moment at wheel center from tire(s)	VARIABLE
IMP_MZEXA1	N-m	Suspensions	User-defined [sz] moment at axle 1 from the sprung mass	0
IMP_MZEXA2	N-m	Suspensions	User-defined [sz] moment at axle 2 from the sprung mass	0
IMP_MZEXA3	N-m	Suspensions	User-defined [sz] moment at axle 3 from the sprung mass	0
IMP_MZEXA4	N-m	Suspensions	User-defined [sz] moment at axle 4 from the sprung mass	0
IMP_MZEXA5	N-m	Suspensions	User-defined [sz] moment at axle 5 from the sprung mass	0
IMP_MZEXA6	N-m	Suspensions	User-defined [sz] moment at axle 6 from the sprung mass	0
IMP_MZGEXA1	N-m	Suspensions	User-defined [nz] moment at axle 1 from the inertial reference N	0
IMP_MZGEXA2	N-m	Suspensions	User-defined [nz] moment at axle 2 from the inertial reference N	0
IMP_MZGEXA3	N-m	Suspensions	User-defined [nz] moment at axle 3 from the inertial reference N	0
IMP_MZGEXA4	N-m	Suspensions	User-defined [nz] moment at axle 4 from the inertial reference N	0
IMP_MZGEXA5	N-m	Suspensions	User-defined [nz] moment at axle 5 from the inertial reference N	0
IMP_MZGEXA6	N-m	Suspensions	User-defined [nz] moment at axle 6 from the inertial reference N	0
IMP_MZGEXT	N-m	Sprung mass	User-defined [nz] moment on sprung mass from inertial reference frame	0
IMP_MZGEXT2	N-m	Sprung mass	User-defined [nz] moment on unit 2 sprung mass from inertial reference frame	0
IMP_MZGEXTC	N-m	Suspended cab	User-defined [nz] moment on cab from inertial reference frame	0
IMP_MZ_AERO_S1	N-m	Aerodynamics	Z component of aerodynamic moment, unit 1	VARIABLE
IMP_MZ_AERO_S2	N-m	Aerodynamics	Z component of aerodynamic moment, unit 2	VARIABLE
IMP_MZ_EXT	N-m	Sprung mass	User-defined [sz] moment on sprung mass from inertial reference frame	0
IMP_MZ_EXT2	N-m	Sprung mass	User-defined [sz] moment on unit 2 sprung mass from inertial reference frame	0
IMP_MZ_EXTC	N-m	Suspended cab	User-defined [sz] moment on cab from inertial reference frame	0
IMP_MZ_L1I	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_L1O	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_L2I	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_L2O	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_L3I	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_L3O	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_L4I	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_L4O	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_L5I	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_L5O	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_L6I	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_L6O	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_R1I	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_R1O	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_R2I	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_R2O	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_R3I	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_R3O	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_R4I	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_R4O	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_R5I	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_R5O	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_R6I	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_MZ_R6O	N-m	Tires	Aligning moment at the CTC (if OPT_TIRE_MODEL < 8)	VARIABLE
IMP_M_BOOST_EXT	N-m	Steering	Steering gear boost torque (applies to internal steer model only)	VARIABLE
IMP_M_DIFF_D2	N-m	Powertrain	Torque difference of 2nd drive axle diff	0
IMP_M_KP_L1	N-m	Steering	Additional kingpin torque reacted at sprung mass	0
IMP_M_KP_L2	N-m	Steering	Additional kingpin torque reacted at sprung mass	0
IMP_M_KP_L3	N-m	Steering	Additional kingpin torque reacted at sprung mass	0
IMP_M_KP_L4	N-m	Steering	Additional kingpin torque reacted at sprung mass	0
IMP_M_KP_L5	N-m	Steering	Additional kingpin torque reacted at sprung mass	0
IMP_M_KP_L6	N-m	Steering	Additional kingpin torque reacted at sprung mass	0
IMP_M_KP_R1	N-m	Steering	Additional kingpin torque reacted at sprung mass	0
IMP_M_KP_R2	N-m	Steering	Additional kingpin torque reacted at sprung mass	0
IMP_M_KP_R3	N-m	Steering	Additional kingpin torque reacted at sprung mass	0
IMP_M_KP_R4	N-m	Steering	Additional kingpin torque reacted at sprung mass	0
IMP_M_KP_R5	N-m	Steering	Additional kingpin torque reacted at sprung mass	0
IMP_M_KP_R6	N-m	Steering	Additional kingpin torque reacted at sprung mass	0
IMP_M_MOTOR	N-m	Powertrain	Electric motor output torque to planetary ring gear	VARIABLE
IMP_M_MOTOR_CMD	N-m	Powertrain	Electric motor torque command	VARIABLE
IMP_M_OUT_D3_R	N-m	Powertrain	2nd drive axle diff input shaft torque	0
IMP_M_TBAR_EXT	N-m	Steering	Steering column reaction torque from external model	0
IMP_M_TIEROD_L1	N-m	Steering	Moment at Pitman arm due to load in tie rod L1,from external model	VARIABLE
IMP_M_TIEROD_L2	N-m	Steering	Moment at Pitman arm due to load in tie rod L2,from external model	VARIABLE
IMP_M_TIEROD_L3	N-m	Steering	Moment at Pitman arm due to load in tie rod L3,from external model	VARIABLE
IMP_M_TIEROD_L4	N-m	Steering	Moment at Pitman arm due to load in tie rod L4,from external model	VARIABLE
IMP_M_TIEROD_L5	N-m	Steering	Moment at Pitman arm due to load in tie rod L5,from external model	VARIABLE
IMP_M_TIEROD_L6	N-m	Steering	Moment at Pitman arm due to load in tie rod L6,from external model	VARIABLE
IMP_M_TIEROD_R1	N-m	Steering	Moment at Pitman arm due to load in tie rod R1,from external model	VARIABLE
IMP_M_TIEROD_R2	N-m	Steering	Moment at Pitman arm due to load in tie rod R2,from external model	VARIABLE
IMP_M_TIEROD_R3	N-m	Steering	Moment at Pitman arm due to load in tie rod R3,from external model	VARIABLE
IMP_M_TIEROD_R4	N-m	Steering	Moment at Pitman arm due to load in tie rod R4,from external model	VARIABLE
IMP_M_TIEROD_R5	N-m	Steering	Moment at Pitman arm due to load in tie rod R5,from external model	VARIABLE
IMP_M_TIEROD_R6	N-m	Steering	Moment at Pitman arm due to load in tie rod R6,from external model	VARIABLE
IMP_PBK_L1	MPa	Brakes	Brake actuator pressure L1	VARIABLE
IMP_PBK_L2	MPa	Brakes	Brake actuator pressure L2	VARIABLE
IMP_PBK_L3	MPa	Brakes	Brake actuator pressure L3	VARIABLE
IMP_PBK_L4	MPa	Brakes	Brake actuator pressure L4	VARIABLE
IMP_PBK_L5	MPa	Brakes	Brake actuator pressure L5	VARIABLE
IMP_PBK_L6	MPa	Brakes	Brake actuator pressure L6	VARIABLE
IMP_PBK_R1	MPa	Brakes	Brake actuator pressure R1	VARIABLE
IMP_PBK_R2	MPa	Brakes	Brake actuator pressure R2	VARIABLE
IMP_PBK_R3	MPa	Brakes	Brake actuator pressure R3	VARIABLE
IMP_PBK_R4	MPa	Brakes	Brake actuator pressure R4	VARIABLE
IMP_PBK_R5	MPa	Brakes	Brake actuator pressure R5	VARIABLE
IMP_PBK_R6	MPa	Brakes	Brake actuator pressure R6	VARIABLE
IMP_PCON_BK	MPa	Brakes	Brake master cylinder pressure	VARIABLE
IMP_PCTL_L1	MPa	Brakes	Control pressure (without dynamics) for brake actuator L1	VARIABLE
IMP_PCTL_L2	MPa	Brakes	Control pressure (without dynamics) for brake actuator L2	VARIABLE
IMP_PCTL_L3	MPa	Brakes	Control pressure (without dynamics) for brake actuator L3	VARIABLE
IMP_PCTL_L4	MPa	Brakes	Control pressure (without dynamics) for brake actuator L4	VARIABLE
IMP_PCTL_L5	MPa	Brakes	Control pressure (without dynamics) for brake actuator L5	VARIABLE
IMP_PCTL_L6	MPa	Brakes	Control pressure (without dynamics) for brake actuator L6	VARIABLE
IMP_PCTL_R1	MPa	Brakes	Control pressure (without dynamics) for brake actuator R1	VARIABLE
IMP_PCTL_R2	MPa	Brakes	Control pressure (without dynamics) for brake actuator R2	VARIABLE
IMP_PCTL_R3	MPa	Brakes	Control pressure (without dynamics) for brake actuator R3	VARIABLE
IMP_PCTL_R4	MPa	Brakes	Control pressure (without dynamics) for brake actuator R4	VARIABLE
IMP_PCTL_R5	MPa	Brakes	Control pressure (without dynamics) for brake actuator R5	VARIABLE
IMP_PCTL_R6	MPa	Brakes	Control pressure (without dynamics) for brake actuator R6	VARIABLE
IMP_PDEL_L1	MPa	Brakes	Delivery pressure (after proportioning) for brake L1	VARIABLE
IMP_PDEL_L2	MPa	Brakes	Delivery pressure (after proportioning) for brake L2	VARIABLE
IMP_PDEL_L3	MPa	Brakes	Delivery pressure (after proportioning) for brake L3	VARIABLE
IMP_PDEL_L4	MPa	Brakes	Delivery pressure (after proportioning) for brake L4	VARIABLE
IMP_PDEL_L5	MPa	Brakes	Delivery pressure (after proportioning) for brake L5	VARIABLE
IMP_PDEL_L6	MPa	Brakes	Delivery pressure (after proportioning) for brake L6	VARIABLE
IMP_PDEL_R1	MPa	Brakes	Delivery pressure (after proportioning) for brake R1	VARIABLE
IMP_PDEL_R2	MPa	Brakes	Delivery pressure (after proportioning) for brake R2	VARIABLE
IMP_PDEL_R3	MPa	Brakes	Delivery pressure (after proportioning) for brake R3	VARIABLE
IMP_PDEL_R4	MPa	Brakes	Delivery pressure (after proportioning) for brake R4	VARIABLE
IMP_PDEL_R5	MPa	Brakes	Delivery pressure (after proportioning) for brake R5	VARIABLE
IMP_PDEL_R6	MPa	Brakes	Delivery pressure (after proportioning) for brake R6	VARIABLE
IMP_PITCH_OBJ_1	deg	Targets	Pitch angle of object 1	0
IMP_PITCH_OBJ_10	deg	Targets	Pitch angle of object 10	0
IMP_PITCH_OBJ_2	deg	Targets	Pitch angle of object 2	0
IMP_PITCH_OBJ_3	deg	Targets	Pitch angle of object 3	0
IMP_PITCH_OBJ_4	deg	Targets	Pitch angle of object 4	0
IMP_PITCH_OBJ_5	deg	Targets	Pitch angle of object 5	0
IMP_PITCH_OBJ_6	deg	Targets	Pitch angle of object 6	0
IMP_PITCH_OBJ_7	deg	Targets	Pitch angle of object 7	0
IMP_PITCH_OBJ_8	deg	Targets	Pitch angle of object 8	0
IMP_PITCH_OBJ_9	deg	Targets	Pitch angle of object 9	0
IMP_PLIN_L1	MPa	Brakes	Brake line pressure L1 before proportioning	VARIABLE
IMP_PLIN_L2	MPa	Brakes	Brake line pressure L2 before proportioning	VARIABLE
IMP_PLIN_L3	MPa	Brakes	Brake line pressure L3 before proportioning	VARIABLE
IMP_PLIN_L4	MPa	Brakes	Brake line pressure L4 before proportioning	VARIABLE
IMP_PLIN_L5	MPa	Brakes	Brake line pressure L5 before proportioning	VARIABLE
IMP_PLIN_L6	MPa	Brakes	Brake line pressure L6 before proportioning	VARIABLE
IMP_PLIN_R1	MPa	Brakes	Brake line pressure R1 before proportioning	VARIABLE
IMP_PLIN_R2	MPa	Brakes	Brake line pressure R2 before proportioning	VARIABLE
IMP_PLIN_R3	MPa	Brakes	Brake line pressure R3 before proportioning	VARIABLE
IMP_PLIN_R4	MPa	Brakes	Brake line pressure R4 before proportioning	VARIABLE
IMP_PLIN_R5	MPa	Brakes	Brake line pressure R5 before proportioning	VARIABLE
IMP_PLIN_R6	MPa	Brakes	Brake line pressure R6 before proportioning	VARIABLE
IMP_PWR_ENGINE_AV	kW	Powertrain	Available power of external engine, needed for closed-loop speed control	VARIABLE
IMP_ROLL_OBJ_1	deg	Targets	Roll angle of object 1	0
IMP_ROLL_OBJ_10	deg	Targets	Roll angle of object 10	0
IMP_ROLL_OBJ_2	deg	Targets	Roll angle of object 2	0
IMP_ROLL_OBJ_3	deg	Targets	Roll angle of object 3	0
IMP_ROLL_OBJ_4	deg	Targets	Roll angle of object 4	0
IMP_ROLL_OBJ_5	deg	Targets	Roll angle of object 5	0
IMP_ROLL_OBJ_6	deg	Targets	Roll angle of object 6	0
IMP_ROLL_OBJ_7	deg	Targets	Roll angle of object 7	0
IMP_ROLL_OBJ_8	deg	Targets	Roll angle of object 8	0
IMP_ROLL_OBJ_9	deg	Targets	Roll angle of object 9	0
IMP_ROT_D3_R	rev	Powertrain	2nd drive axle diff input shaft rotation	0
IMP_RRE_L1I	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_L1O	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_L2I	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_L2O	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_L3I	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_L3O	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_L4I	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_L4O	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_L5I	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_L5O	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_L6I	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_L6O	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R1I	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R1O	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R2I	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R2O	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R3I	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R3O	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R4I	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R4O	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R5I	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R5O	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R6I	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R6O	mm	Tires	Effective rolling radius at the tire CTC	VARIABLE
IMP_RR_SURF_L1I	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_L1O	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_L2I	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_L2O	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_L3I	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_L3O	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_L4I	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_L4O	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_L5I	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_L5O	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_L6I	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_L6O	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R1I	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R1O	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R2I	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R2O	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R3I	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R3O	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R4I	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R4O	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R5I	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R5O	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R6I	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R6O	-	Tires	Rolling-resistance coefficient for road surface at the tire CTC	VARIABLE
IMP_R_EFF_D2	-	Powertrain	Efficiency of 2nd drive axle diff	0
IMP_R_GEAR_D2	-	Powertrain	Gear ratio of 2nd drive axle diff	0
IMP_R_STR_EXT_L1	-	Steering	Overall steer ratio for wheel L1 with external steer model, used by the closed loop steering controller (driver model)	VARIABLE
IMP_R_STR_EXT_L2	-	Steering	Overall steer ratio for wheel L2 with external steer model, used by the closed loop steering controller (driver model)	VARIABLE
IMP_R_STR_EXT_L3	-	Steering	Overall steer ratio for wheel L3 with external steer model, used by the closed loop steering controller (driver model)	VARIABLE
IMP_R_STR_EXT_L4	-	Steering	Overall steer ratio for wheel L4 with external steer model, used by the closed loop steering controller (driver model)	VARIABLE
IMP_R_STR_EXT_L5	-	Steering	Overall steer ratio for wheel L5 with external steer model, used by the closed loop steering controller (driver model)	VARIABLE
IMP_R_STR_EXT_L6	-	Steering	Overall steer ratio for wheel L6 with external steer model, used by the closed loop steering controller (driver model)	VARIABLE
IMP_R_STR_EXT_R1	-	Steering	Overall steer ratio for wheel R1 with external steer model, used by the closed loop steering controller (driver model)	VARIABLE
IMP_R_STR_EXT_R2	-	Steering	Overall steer ratio for wheel R2 with external steer model, used by the closed loop steering controller (driver model)	VARIABLE
IMP_R_STR_EXT_R3	-	Steering	Overall steer ratio for wheel R3 with external steer model, used by the closed loop steering controller (driver model)	VARIABLE
IMP_R_STR_EXT_R4	-	Steering	Overall steer ratio for wheel R4 with external steer model, used by the closed loop steering controller (driver model)	VARIABLE
IMP_R_STR_EXT_R5	-	Steering	Overall steer ratio for wheel R5 with external steer model, used by the closed loop steering controller (driver model)	VARIABLE
IMP_R_STR_EXT_R6	-	Steering	Overall steer ratio for wheel R6 with external steer model, used by the closed loop steering controller (driver model)	VARIABLE
IMP_SPEED	km/h	Speed controller	Target speed for speed controller	VARIABLE
IMP_STEER_CON_L1	deg	Steering	Steering gear output angle for wheel L1 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_CON_L2	deg	Steering	Steering gear output angle for wheel L2 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_CON_L3	deg	Steering	Steering gear output angle for wheel L3 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_CON_L4	deg	Steering	Steering gear output angle for wheel L4 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_CON_L5	deg	Steering	Steering gear output angle for wheel L5 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_CON_L6	deg	Steering	Steering gear output angle for wheel L6 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_CON_R1	deg	Steering	Steering gear output angle for wheel R1 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_CON_R2	deg	Steering	Steering gear output angle for wheel R2 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_CON_R3	deg	Steering	Steering gear output angle for wheel R3 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_CON_R4	deg	Steering	Steering gear output angle for wheel R4 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_CON_R5	deg	Steering	Steering gear output angle for wheel R5 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_CON_R6	deg	Steering	Steering gear output angle for wheel R6 (input to nonlinear steering kinematics table) from external model	VARIABLE
IMP_STEER_L1	deg	Steering	Road wheel L1 steer angle due to the steering system, (NOT ride/roll steer) from external model	VARIABLE
IMP_STEER_L2	deg	Steering	Road wheel L2 steer angle due to the steering system, (NOT ride/roll steer) from external model	VARIABLE
IMP_STEER_L3	deg	Steering	Road wheel L3 steer angle due to the steering system, (NOT ride/roll steer) from external model	VARIABLE
IMP_STEER_L4	deg	Steering	Road wheel L4 steer angle due to the steering system, (NOT ride/roll steer) from external model	VARIABLE
