 Keyword	Units	Type	Component	Legend Label
Xo	m	Global X coordinate	Chassis motion	X coordinate, vehicle origin	Vehicle
Xrd_Air	m	Global X coordinate	Aerodynamics	X coord. of road aero ref. 1	Road reference frame 1
X_camF	m	Global X coordinate	Camera	X coord. of camera front point	Camera front point X
X_camR	m	Global X coordinate	Camera	X coord. of camera rear point	Camera rear point X
X_Design	m	Global X coordinate	Driver model path	X coordinate of reference path	Driver reference path
X_DM_1	m	Global X coordinate	Driver model preview	X coordinate of preview point 1	Driver model preview point 1
X_DM_10	m	Global X coordinate	Driver model preview	X coordinate of preview point 10	Driver model preview point 10
X_DM_2	m	Global X coordinate	Driver model preview	X coordinate of preview point 2	Driver model preview point 2
X_DM_3	m	Global X coordinate	Driver model preview	X coordinate of preview point 3	Driver model preview point 3
X_DM_4	m	Global X coordinate	Driver model preview	X coordinate of preview point 4	Driver model preview point 4
X_DM_5	m	Global X coordinate	Driver model preview	X coordinate of preview point 5	Driver model preview point 5
X_DM_6	m	Global X coordinate	Driver model preview	X coordinate of preview point 6	Driver model preview point 6
X_DM_7	m	Global X coordinate	Driver model preview	X coordinate of preview point 7	Driver model preview point 7
X_DM_8	m	Global X coordinate	Driver model preview	X coordinate of preview point 8	Driver model preview point 8
X_DM_9	m	Global X coordinate	Driver model preview	X coordinate of preview point 9	Driver model preview point 9
X_L1	m	Global X coordinate	Wheels	X coordinate, wheel center L1	Wheel center L1
X_L2	m	Global X coordinate	Wheels	X coordinate, wheel center L2	Wheel center L2
X_Obj_1	m	X coordinate	Targets	X coordinate of moving object 1	Moving object 1
X_Obj_10	m	X coordinate	Targets	X coordinate of moving object 10	Moving object 10
X_Obj_2	m	X coordinate	Targets	X coordinate of moving object 2	Moving object 2
X_Obj_3	m	X coordinate	Targets	X coordinate of moving object 3	Moving object 3
X_Obj_4	m	X coordinate	Targets	X coordinate of moving object 4	Moving object 4
X_Obj_5	m	X coordinate	Targets	X coordinate of moving object 5	Moving object 5
X_Obj_6	m	X coordinate	Targets	X coordinate of moving object 6	Moving object 6
X_Obj_7	m	X coordinate	Targets	X coordinate of moving object 7	Moving object 7
X_Obj_8	m	X coordinate	Targets	X coordinate of moving object 8	Moving object 8
X_Obj_9	m	X coordinate	Targets	X coordinate of moving object 9	Moving object 9
X_R1	m	Global X coordinate	Wheels	X coordinate, wheel center R1	Wheel center R1
X_R2	m	Global X coordinate	Wheels	X coordinate, wheel center R2	Wheel center R2
X_Target	m	Global X coordinate	Driver model path	X coordinate of target path	Target
Yaw	deg	Angle	Chassis motion	Yaw, vehicle	Vehicle yaw
YawO_1	deg	Yaw angle	Targets	Yaw angle of moving object 1	Moving object 1
YawO_10	deg	Yaw angle	Targets	Yaw angle of moving object 10	Moving object 10
YawO_2	deg	Yaw angle	Targets	Yaw angle of moving object 2	Moving object 2
YawO_3	deg	Yaw angle	Targets	Yaw angle of moving object 3	Moving object 3
YawO_4	deg	Yaw angle	Targets	Yaw angle of moving object 4	Moving object 4
YawO_5	deg	Yaw angle	Targets	Yaw angle of moving object 5	Moving object 5
YawO_6	deg	Yaw angle	Targets	Yaw angle of moving object 6	Moving object 6
YawO_7	deg	Yaw angle	Targets	Yaw angle of moving object 7	Moving object 7
YawO_8	deg	Yaw angle	Targets	Yaw angle of moving object 8	Moving object 8
YawO_9	deg	Yaw angle	Targets	Yaw angle of moving object 9	Moving object 9
Yaw_CamF	deg	Angle	Camera	Yaw (road) at camera front point	Camera front point yaw
Yaw_CamR	deg	Angle	Camera	Yaw (road) at camera rear point	Camera rear point yaw
Yaw_L1	deg	Angle	Wheels	Yaw, wheel L1	Yaw, wheel L1
Yaw_L2	deg	Angle	Wheels	Yaw, wheel L2	Yaw, wheel L2
Yaw_R1	deg	Angle	Wheels	Yaw, wheel R1	Yaw, wheel R1
Yaw_R2	deg	Angle	Wheels	Yaw, wheel R2	Yaw, wheel R2
Yaw_Wind	deg	Angle	Aerodynamics	Global wind heading (yaw)	Wind heading
Ycg_SM	m	Global Y coordinate	Chassis motion	Y coordinate, CG, sprung mass	CG, sprung mass
Ycg_TM	m	Global Y coordinate	Chassis motion	Y coordinate, inst. CG, unit 1	Instant CG, vehicle
Yctc_L1	m	Global Y coordinate	Tires	Y coordinate, tire CTC L1	Center of tire contact L1
Yctc_L2	m	Global Y coordinate	Tires	Y coordinate, tire CTC L2	Center of tire contact L2
Yctc_R1	m	Global Y coordinate	Tires	Y coordinate, tire CTC R1	Center of tire contact R1
Yctc_R2	m	Global Y coordinate	Tires	Y coordinate, tire CTC R2	Center of tire contact R2
YlcgTM	mm	Local Y coordinate	Chassis motion	Local Y, inst. CG, unit 1	Instant CG, vehicle
Yo	m	Global Y coordinate	Chassis motion	Y coordinate, vehicle origin	Vehicle
Yrd_Air	m	Global Y coordinate	Aerodynamics	Y coord. of road aero ref. 1	Road reference frame 1
Y_camF	m	Global Y coordinate	Camera	Y coord. of camera front point	Camera front point Y
Y_camR	m	Global Y coordinate	Camera	Y coord. of camera rear point	Camera rear point Y
Y_Design	m	Global Y coordinate	Driver model path	Y coordinate of reference path	Driver reference path
Y_DM_1	m	Global Y coordinate	Driver model preview	Y coordinate of preview point 1	Driver model preview point 1
Y_DM_10	m	Global Y coordinate	Driver model preview	Y coordinate of preview point 10	Driver model preview point 10
Y_DM_2	m	Global Y coordinate	Driver model preview	Y coordinate of preview point 2	Driver model preview point 2
Y_DM_3	m	Global Y coordinate	Driver model preview	Y coordinate of preview point 3	Driver model preview point 3
Y_DM_4	m	Global Y coordinate	Driver model preview	Y coordinate of preview point 4	Driver model preview point 4
Y_DM_5	m	Global Y coordinate	Driver model preview	Y coordinate of preview point 5	Driver model preview point 5
Y_DM_6	m	Global Y coordinate	Driver model preview	Y coordinate of preview point 6	Driver model preview point 6
Y_DM_7	m	Global Y coordinate	Driver model preview	Y coordinate of preview point 7	Driver model preview point 7
Y_DM_8	m	Global Y coordinate	Driver model preview	Y coordinate of preview point 8	Driver model preview point 8
Y_DM_9	m	Global Y coordinate	Driver model preview	Y coordinate of preview point 9	Driver model preview point 9
Y_L1	m	Global Y coordinate	Wheels	Y coordinate, wheel center L1	Wheel center L1
Y_L2	m	Global Y coordinate	Wheels	Y coordinate, wheel center L2	Wheel center L2
Y_Obj_1	m	Y coordinate	Targets	Y coordinate of moving object 1	Moving object 1
Y_Obj_10	m	Y coordinate	Targets	Y coordinate of moving object 10	Moving object 10
Y_Obj_2	m	Y coordinate	Targets	Y coordinate of moving object 2	Moving object 2
Y_Obj_3	m	Y coordinate	Targets	Y coordinate of moving object 3	Moving object 3
Y_Obj_4	m	Y coordinate	Targets	Y coordinate of moving object 4	Moving object 4
Y_Obj_5	m	Y coordinate	Targets	Y coordinate of moving object 5	Moving object 5
Y_Obj_6	m	Y coordinate	Targets	Y coordinate of moving object 6	Moving object 6
Y_Obj_7	m	Y coordinate	Targets	Y coordinate of moving object 7	Moving object 7
Y_Obj_8	m	Y coordinate	Targets	Y coordinate of moving object 8	Moving object 8
Y_Obj_9	m	Y coordinate	Targets	Y coordinate of moving object 9	Moving object 9
Y_R1	m	Global Y coordinate	Wheels	Y coordinate, wheel center R1	Wheel center R1
Y_R2	m	Global Y coordinate	Wheels	Y coordinate, wheel center R2	Wheel center R2
Y_Rack1	mm	Displacement	Steering	Steering rack disp., axle 1	Axle 1 steering
Y_Rack2	mm	Displacement	Steering	Steering rack disp., axle 2	Axle 2 steering
Y_Target	m	Global Y coordinate	Driver model path	Y coordinate of target path	Target
Zcg_SM	m	Global Z coordinate	Chassis motion	Z coordinate, CG, sprung mass	CG, sprung mass
Zcg_TM	m	Global Z coordinate	Chassis motion	Z coordinate, inst. CG, unit 1	Instant CG, vehicle
Zgnd_L1	m	Global Z coordinate	Ground and road	Ground Z coord under tire L1	Ground under tire L1
Zgnd_L2	m	Global Z coordinate	Ground and road	Ground Z coord under tire L2	Ground under tire L2
Zgnd_R1	m	Global Z coordinate	Ground and road	Ground Z coord under tire R1	Ground under tire R1
Zgnd_R2	m	Global Z coordinate	Ground and road	Ground Z coord under tire R2	Ground under tire R2
Zo	m	Global Z coordinate	Chassis motion	Z coordinate, vehicle origin	Vehicle
Zrd_Air	m	Global Z coordinate	Aerodynamics	Z coord. of road aero ref. 1	Road reference frame 1
Z_Aero	m	Height above road	Aerodynamics	Height of aero ref pt above road	Height of aero ref pt above road
Z_camF	m	Global Z coordinate	Camera	Z coord. of camera front point	Camera front point Z
Z_camR	m	Global Z coordinate	Camera	Z coord. of camera rear point	Camera rear point Z
Z_DM_1	m	Global Z coordinate	Driver model preview	Z coordinate of preview point 1	Driver model preview point 1
Z_DM_10	m	Global Z coordinate	Driver model preview	Z coordinate of preview point 10	Driver model preview point 10
Z_DM_2	m	Global Z coordinate	Driver model preview	Z coordinate of preview point 2	Driver model preview point 2
Z_DM_3	m	Global Z coordinate	Driver model preview	Z coordinate of preview point 3	Driver model preview point 3
Z_DM_4	m	Global Z coordinate	Driver model preview	Z coordinate of preview point 4	Driver model preview point 4
Z_DM_5	m	Global Z coordinate	Driver model preview	Z coordinate of preview point 5	Driver model preview point 5
Z_DM_6	m	Global Z coordinate	Driver model preview	Z coordinate of preview point 6	Driver model preview point 6
Z_DM_7	m	Global Z coordinate	Driver model preview	Z coordinate of preview point 7	Driver model preview point 7
Z_DM_8	m	Global Z coordinate	Driver model preview	Z coordinate of preview point 8	Driver model preview point 8
Z_DM_9	m	Global Z coordinate	Driver model preview	Z coordinate of preview point 9	Driver model preview point 9
Z_L1	m	Global Z coordinate	Wheels	Z coordinate, wheel center L1	Wheel center L1
Z_L2	m	Global Z coordinate	Wheels	Z coordinate, wheel center L2	Wheel center L2
Z_Obj_1	m	Z coordinate	Targets	Z coordinate of moving object 1	Moving object 1
Z_Obj_10	m	Z coordinate	Targets	Z coordinate of moving object 10	Moving object 10
Z_Obj_2	m	Z coordinate	Targets	Z coordinate of moving object 2	Moving object 2
Z_Obj_3	m	Z coordinate	Targets	Z coordinate of moving object 3	Moving object 3
Z_Obj_4	m	Z coordinate	Targets	Z coordinate of moving object 4	Moving object 4
Z_Obj_5	m	Z coordinate	Targets	Z coordinate of moving object 5	Moving object 5
Z_Obj_6	m	Z coordinate	Targets	Z coordinate of moving object 6	Moving object 6
Z_Obj_7	m	Z coordinate	Targets	Z coordinate of moving object 7	Moving object 7
Z_Obj_8	m	Z coordinate	Targets	Z coordinate of moving object 8	Moving object 8
Z_Obj_9	m	Z coordinate	Targets	Z coordinate of moving object 9	Moving object 9
Z_R1	m	Global Z coordinate	Wheels	Z coordinate, wheel center R1	Wheel center R1
Z_R2	m	Global Z coordinate	Wheels	Z coordinate, wheel center R2	Wheel center R2
Z_Shadow	m	Global Z coordinate	Ground and road	Z coordinate, vehicle shadow 1	Road reference frame 1
